sku,name,cost,wholesale_price,msrp,is_discontinued,qty_zoey,qty_shopify,on_hand,units_4w,units_13w,units_52w,rev_zoey_30d,rev_shopify_30d,rev_zoey_7d,rev_shopify_7d,rev_total_30d,rev_total_7d,daily_vel_4w,daily_vel_13w,daily_vel,days_cover,months_cover,lead_time_days,target_units,suggested_order_qty,reorder_flag,overstock_flag,inventory_value,excess_inv_value,blended_price,gp_per_sku
OGSH31630UN,Golden Eye Swimmer Head 3/16oz (3/0) Unpainted - 2pk,1.82,3.47,5.99,False,96.0,13.0,109.0,18.0,72.0,173.0,62.46,0.0,0.0,0.0,62.46,0.0,0.6428571428571429,0.7912087912087912,0.7912087912087912,137.8,4.9,180,158.0,49.0,True,False,198.38,0.0,4.23,262.69
OGSH3840GP,Golden Eye Swimmer Head 3/8oz (4/0) Green Pumpkin - 2pk,1.82,3.47,5.99,False,54.0,13.0,67.0,6.0,44.0,135.0,19.74,0.0,0.0,0.0,19.74,0.0,0.21428571428571427,0.4835164835164835,0.4835164835164835,138.6,5.0,180,97.0,30.0,True,False,121.94,0.0,4.23,161.47
OPC7GBR,Poppin Craw 7 Grams Brown,4.17,5.99,9.99,False,114.0,6.0,120.0,14.0,78.0,108.0,32.94,80.07,0.0,10.14,113.01,10.14,0.5,0.8571428571428571,0.8571428571428571,140.0,5.0,180,171.0,51.0,True,False,500.4,0.0,7.19,362.4
OGSH1240UN,Golden Eye Swimmer Head 1/2oz (4/0) Unpainted - 2pk,1.82,3.47,5.99,False,54.0,13.0,67.0,12.0,43.0,79.0,40.56,0.0,0.0,0.0,40.56,0.0,0.42857142857142855,0.4725274725274725,0.4725274725274725,141.8,5.1,180,95.0,28.0,True,False,121.94,0.0,4.23,161.47
OSJH14PR,Pro Swim Jig Heavy 1/4oz Perch,2.16,3.47,5.99,False,30.0,9.0,39.0,9.0,25.0,59.0,19.74,17.97,0.0,5.99,37.71,5.99,0.32142857142857145,0.27472527472527475,0.27472527472527475,142.0,5.1,180,55.0,16.0,True,False,84.24,0.0,4.23,80.73
OSJH38BG,Pro Swim Jig Heavy 3/8oz Bold Gill,2.16,3.47,5.99,False,102.0,0.0,102.0,4.0,65.0,114.0,0.0,23.96,0.0,0.0,23.96,0.0,0.14285714285714285,0.7142857142857143,0.7142857142857143,142.8,5.1,180,143.0,41.0,True,False,220.32,0.0,4.23,211.14
OJJ12UC,Juice Jig 1/2oz Upshaw (Natural) Craw,1.96,3.47,5.99,False,138.0,3.0,141.0,26.0,89.0,211.0,39.48,89.85,0.0,0.0,129.33,0.0,0.9285714285714286,0.978021978021978,0.978021978021978,144.2,5.1,180,196.0,55.0,True,False,276.36,0.0,4.23,320.07
OPN33220GP,Perfect Ned Head 3/32oz (2/0) Green Pumpkin - 3pk.,2.14,4.05,6.99,False,42.0,12.0,54.0,30.0,34.0,107.0,118.98,0.0,0.0,0.0,118.98,0.0,1.0714285714285714,0.37362637362637363,0.37362637362637363,144.5,5.2,180,75.0,21.0,True,False,115.56,0.0,4.93,150.66
OGSH3830GP,Golden Eye Swimmer Head 3/8oz (3/0) Green Pumpkin - 2pk,1.82,3.47,5.99,False,96.0,9.0,105.0,10.0,66.0,193.0,20.82,29.95,0.0,5.99,50.77,5.99,0.35714285714285715,0.7252747252747253,0.7252747252747253,144.8,5.2,180,145.0,40.0,True,False,191.1,0.0,4.23,253.05
ORL31620,Radar Love 3/16 oz,2.94,4.63,7.99,False,102.0,13.0,115.0,12.0,71.0,157.0,54.12,0.0,0.0,0.0,54.12,0.0,0.42857142857142855,0.7802197802197802,0.7802197802197802,147.4,5.3,180,156.0,41.0,True,False,338.1,0.0,5.64,310.5
